ind,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
6604,2012/6/17,2,1,6,4,0,0,0,1,0.54,0.5152,0.64,0.0896,2,16,18
6605,2011/2/20,1,0,2,1,0,0,0,1,0.24,0.197,0.41,0.4627,5,11,16
6606,2012/8/12,3,1,8,5,0,0,0,1,0.64,0.6212,0.61,0.194,1,9,10
6607,2011/6/30,3,0,6,21,0,4,1,1,0.72,0.6515,0.37,0.1045,81,242,323
6608,2012/10/18,4,1,10,20,0,4,1,2,0.56,0.5303,0.68,0.2537,39,348,387
6609,2012/12/23,1,1,12,19,0,0,0,1,0.3,0.3333,0.42,0,4,54,58
6610,2012/1/22,1,1,1,12,0,0,0,2,0.16,0.1515,0.8,0.2239,24,161,185
6611,2011/3/28,2,0,3,22,0,1,1,1,0.3,0.2879,0.22,0.2239,0,40,40
6612,2012/4/4,2,1,4,1,0,3,1,1,0.46,0.4545,0.59,0,0,11,11
6613,2012/12/21,1,1,12,21,0,5,1,1,0.26,0.2273,0.41,0.4179,2,68,70
6614,2011/8/2,3,0,8,6,0,2,1,1,0.68,0.6364,0.69,0.1045,12,105,117
6615,2011/10/5,4,0,10,16,0,3,1,1,0.64,0.6212,0.47,0.3284,37,245,282
6616,2012/6/4,2,1,6,20,0,1,1,1,0.6,0.6212,0.4,0.3582,71,390,461
6617,2012/12/12,4,1,12,2,0,3,1,1,0.28,0.2727,0.56,0.1642,5,4,9
6618,2012/8/17,3,1,8,7,0,5,1,1,0.64,0.2424,0.73,0.1045,11,368,379
6619,2011/3/17,1,0,3,1,0,4,1,1,0.36,0.3485,0.71,0.2239,1,11,12
6620,2011/5/24,2,0,5,22,0,2,1,3,0.62,0.5606,0.88,0.2239,26,115,141
6621,2011/4/28,2,0,4,4,0,4,1,2,0.62,0.5758,0.83,0.4179,4,5,9
6622,2012/5/12,2,1,5,9,0,6,0,1,0.54,0.5152,0.49,0,87,248,335
6623,2011/6/4,2,0,6,15,0,6,0,2,0.74,0.6515,0.27,0.4179,180,224,404
6624,2012/10/28,4,1,10,7,0,0,0,2,0.5,0.4848,0.59,0.2985,17,48,65
6625,2011/12/24,1,0,12,5,0,6,0,2,0.32,0.3182,0.66,0.1642,1,3,4
6626,2011/4/1,2,0,4,0,0,5,1,3,0.26,0.2576,1,0.1642,0,6,6
6627,2012/9/28,4,1,9,7,0,5,1,2,0.56,0.5303,0.94,0,10,384,394
6628,2012/11/16,4,1,11,22,0,5,1,1,0.32,0.303,0.53,0.2537,23,139,162
6629,2011/5/10,2,0,5,18,0,2,1,1,0.64,0.6212,0.29,0.1343,70,480,550
6630,2012/11/23,4,1,11,9,0,5,1,1,0.28,0.2879,0.75,0.1045,32,80,112
6631,2012/7/28,3,1,7,10,0,6,0,1,0.82,0.7727,0.52,0.2239,129,266,395
6632,2012/5/8,2,1,5,10,0,2,1,2,0.58,0.5455,0.68,0.4179,46,111,157
6633,2012/3/27,2,1,3,11,0,2,1,1,0.3,0.303,0.31,0.1642,34,141,175
6634,2011/10/28,4,0,10,16,0,5,1,2,0.36,0.3485,0.46,0.1642,46,262,308
6635,2011/7/9,3,0,7,14,0,6,0,1,0.84,0.7424,0.36,0.1343,158,215,373
6636,2012/7/2,3,1,7,7,0,1,1,1,0.74,0.6667,0.51,0.1045,8,390,398
6637,2012/12/27,1,1,12,15,0,4,1,2,0.26,0.2121,0.56,0.4478,31,89,120
6638,2012/7/20,3,1,7,9,0,5,1,2,0.7,0.6667,0.79,0.1343,45,328,373
6639,2012/12/3,4,1,12,2,0,1,1,1,0.42,0.4242,0.77,0.1642,1,9,10
6640,2012/12/21,1,1,12,2,0,5,1,3,0.46,0.4545,0.94,0.3881,0,3,3
6641,2011/8/13,3,0,8,16,0,6,0,2,0.7,0.6667,0.74,0.2836,148,133,281
6642,2011/8/27,3,0,8,14,0,6,0,3,0.64,0.5758,0.89,0.5522,4,19,23
6643,2012/8/10,3,1,8,23,0,5,1,1,0.72,0.6818,0.7,0.2836,33,159,192
6644,2012/6/10,2,1,6,11,0,0,0,1,0.76,0.6818,0.45,0.0896,184,315,499
6645,2011/11/26,4,0,11,17,0,6,0,2,0.46,0.4545,0.47,0.1343,62,122,184
6646,2012/5/8,2,1,5,3,0,2,1,2,0.52,0.5,0.68,0.2836,2,4,6
6647,2012/7/5,3,1,7,18,0,4,1,2,0.9,0.8333,0.39,0.3284,96,511,607
6648,2011/11/26,4,0,11,20,0,6,0,2,0.42,0.4242,0.58,0,55,86,141
6649,2011/12/26,1,0,12,7,1,1,0,1,0.32,0.3182,0.45,0.194,2,17,19
6650,2011/8/22,3,0,8,3,0,1,1,3,0.7,0.6515,0.65,0.1343,0,5,5
6651,2011/1/13,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72,72
6652,2011/2/5,1,0,2,18,0,6,0,2,0.28,0.2424,0.93,0.4478,2,81,83
6653,2011/9/4,3,0,9,16,0,0,0,1,0.8,0.7727,0.59,0.2239,196,141,337
6654,2012/6/26,3,1,6,4,0,2,1,1,0.54,0.5152,0.45,0.2985,1,9,10
6655,2012/5/5,2,1,5,14,0,6,0,3,0.7,0.6515,0.61,0.2985,187,241,428
6656,2012/2/23,1,1,2,13,0,4,1,1,0.52,0.5,0.39,0.194,30,188,218
6657,2012/7/21,3,1,7,22,0,6,0,2,0.6,0.5455,0.88,0.1045,40,140,180
6658,2011/10/4,4,0,10,2,0,2,1,2,0.4,0.4091,0.87,0,1,2,3
6659,2012/6/29,3,1,6,11,0,5,1,2,0.9,0.8485,0.42,0.2836,51,137,188
6660,2011/1/16,1,0,1,20,0,0,0,1,0.18,0.197,0.47,0.1642,7,50,57
6661,2011/12/20,4,0,12,5,0,2,1,2,0.36,0.3788,0.57,0,0,15,15
6662,2011/11/13,4,0,11,13,0,0,0,2,0.52,0.5,0.29,0.4179,105,234,339
6663,2012/10/18,4,1,10,13,0,4,1,1,0.62,0.6212,0.53,0.3582,96,236,332
6664,2011/3/17,1,0,3,20,0,4,1,1,0.42,0.4242,0.67,0.2239,25,112,137
6665,2012/11/5,4,1,11,15,0,1,1,1,0.38,0.3939,0.4,0.2836,24,207,231
6666,2012/7/9,3,1,7,15,0,1,1,2,0.76,0.6818,0.45,0.2239,66,214,280
6667,2012/9/13,3,1,9,23,0,4,1,1,0.58,0.5455,0.73,0.1045,33,137,170
6668,2012/1/6,1,1,1,13,0,5,1,1,0.4,0.4091,0.43,0.2836,16,188,204
6669,2012/10/4,4,1,10,5,0,4,1,3,0.64,0.5758,0.89,0.1045,2,37,39
6670,2012/2/10,1,1,2,13,0,5,1,2,0.3,0.3182,0.42,0.0896,22,170,192
6671,2012/2/3,1,1,2,14,0,5,1,1,0.36,0.3485,0.46,0.2239,22,148,170
6672,2012/4/15,2,1,4,14,0,0,0,1,0.7,0.6364,0.39,0.2836,282,346,628
6673,2011/10/19,4,0,10,12,0,3,1,3,0.52,0.5,0.94,0.3284,13,117,130
6674,2012/4/15,2,1,4,2,0,0,0,2,0.54,0.5152,0.56,0.1045,20,54,74
6675,2012/10/11,4,1,10,8,0,4,1,1,0.38,0.3939,0.46,0.3881,25,773,798
6676,2012/4/11,2,1,4,23,0,3,1,1,0.34,0.303,0.57,0.2985,9,52,61
6677,2011/10/10,4,0,10,17,1,1,0,2,0.66,0.6212,0.54,0.1045,125,334,459
6678,2012/7/15,3,1,7,15,0,0,0,1,0.86,0.803,0.47,0.1343,182,307,489
6679,2012/3/27,2,1,3,19,0,2,1,1,0.42,0.4242,0.17,0,40,377,417
6680,2011/3/17,1,0,3,4,0,4,1,1,0.34,0.3333,0.71,0.194,0,3,3
6681,2011/9/27,4,0,9,23,0,2,1,1,0.6,0.5455,0.88,0.0896,11,82,93
6682,2011/11/3,4,0,11,7,0,4,1,2,0.32,0.3333,0.81,0.0896,12,280,292
6683,2011/11/5,4,0,11,15,0,6,0,1,0.4,0.4091,0.37,0.194,141,202,343
6684,2011/8/30,3,0,8,2,0,2,1,1,0.54,0.5152,0.73,0.1045,2,8,10
6685,2012/7/27,3,1,7,14,0,5,1,1,0.86,0.803,0.47,0.2985,105,221,326
6686,2012/1/3,1,1,1,11,0,2,1,1,0.18,0.1364,0.37,0.5224,12,63,75
6687,2012/11/19,4,1,11,16,0,1,1,1,0.42,0.4242,0.58,0.2537,55,325,380
6688,2012/7/14,3,1,7,12,0,6,0,2,0.74,0.697,0.66,0.0896,181,318,499
6689,2011/6/13,2,0,6,21,0,1,1,1,0.64,0.6212,0.41,0.2537,40,178,218
6690,2012/10/9,4,1,10,15,0,2,1,2,0.52,0.5,0.63,0.1642,59,195,254
6691,2011/6/7,2,0,6,7,0,2,1,2,0.64,0.6061,0.69,0.194,23,311,334
6692,2011/1/28,1,0,1,21,0,5,1,2,0.22,0.2273,0.75,0.1343,1,57,58
6693,2012/5/8,2,1,5,9,0,2,1,2,0.56,0.5303,0.68,0.3582,37,258,295
6694,2011/4/19,2,0,4,16,0,2,1,1,0.56,0.5303,0.52,0.2985,30,162,192
6695,2012/11/18,4,1,11,7,0,0,0,1,0.28,0.2727,0.81,0.194,3,39,42
6696,2011/8/10,3,0,8,22,0,3,1,1,0.74,0.6515,0.37,0,17,122,139
6697,2011/7/11,3,0,7,1,0,1,1,1,0.7,0.6515,0.61,0.2836,5,5,10
6698,2011/5/26,2,0,5,12,0,4,1,1,0.78,0.7424,0.59,0.3284,53,141,194
6699,2012/5/15,2,1,5,22,0,2,1,1,0.58,0.5455,0.78,0.2239,9,74,83
6700,2011/10/27,4,0,10,16,0,4,1,2,0.56,0.5303,0.73,0.1642,14,193,207
6701,2011/5/19,2,0,5,12,0,4,1,2,0.58,0.5455,0.78,0.1045,38,130,168
6702,2012/2/5,1,1,2,7,0,0,0,2,0.24,0.2424,0.75,0.1642,0,16,16
6703,2012/12/29,1,1,12,1,0,6,0,2,0.24,0.2424,0.75,0.0896,6,31,37
6704,2011/11/30,4,0,11,16,0,3,1,1,0.36,0.3333,0.46,0.2836,27,199,226
6705,2011/2/10,1,0,2,20,0,4,1,1,0.14,0.1818,0.31,0.0896,4,93,97
6706,2012/3/25,2,1,3,7,0,0,0,2,0.4,0.4091,0.94,0.3284,14,25,39
6707,2011/9/13,3,0,9,22,0,2,1,1,0.64,0.5909,0.78,0.1343,24,120,144
6708,2012/6/11,2,1,6,18,0,1,1,2,0.8,0.7273,0.43,0.2985,105,726,831
6709,2012/5/27,2,1,5,12,0,0,0,1,0.74,0.697,0.66,0.2537,301,269,570
6710,2011/9/26,4,0,9,23,0,1,1,1,0.62,0.5455,0.94,0.1343,11,64,75
6711,2012/6/5,2,1,6,7,0,2,1,1,0.48,0.4697,0.77,0.2985,29,540,569
6712,2011/10/18,4,0,10,17,0,2,1,1,0.6,0.6061,0.6,0.1343,72,553,625
6713,2011/11/25,4,0,11,19,0,5,1,1,0.42,0.4242,0.67,0,38,96,134
6714,2011/6/17,2,0,6,7,0,5,1,1,0.6,0.5606,0.83,0,25,225,250
6715,2012/3/24,2,1,3,18,0,6,0,3,0.46,0.4545,0.94,0.2239,27,110,137
6716,2012/4/4,2,1,4,6,0,3,1,2,0.42,0.4242,0.58,0,6,120,126
6717,2012/10/25,4,1,10,19,0,4,1,1,0.54,0.5152,0.83,0.194,45,497,542
6718,2012/8/27,3,1,8,22,0,1,1,1,0.7,0.6667,0.84,0.194,30,131,161
6719,2012/3/24,2,1,3,13,0,6,0,3,0.52,0.5,0.94,0.2537,62,134,196
6720,2012/12/19,4,1,12,5,0,3,1,1,0.26,0.2879,0.75,0.0896,2,29,31
6721,2012/3/9,1,1,3,11,0,5,1,2,0.36,0.3333,0.34,0.3582,17,170,187
6722,2011/10/1,4,0,10,3,0,6,0,1,0.46,0.4545,0.59,0.4179,8,17,25
6723,2011/11/2,4,0,11,0,0,3,1,1,0.32,0.3485,0.87,0,0,19,19
6724,2012/2/15,1,1,2,4,0,3,1,1,0.28,0.2879,0.7,0.1045,0,1,1
6725,2011/7/25,3,0,7,9,0,1,1,1,0.8,0.803,0.66,0,11,124,135
6726,2012/8/7,3,1,8,3,0,2,1,1,0.7,0.6667,0.84,0,0,6,6
6727,2012/12/21,1,1,12,9,0,5,1,2,0.32,0.2727,0.45,0.5522,2,265,267
6728,2011/11/4,4,0,11,6,0,5,1,2,0.38,0.3939,0.87,0.0896,2,64,66
6729,2012/6/28,3,1,6,18,0,4,1,1,0.86,0.7273,0.25,0.2239,100,597,697
6730,2011/7/14,3,0,7,4,0,4,1,1,0.62,0.6212,0.53,0.2537,0,6,6
6731,2011/12/10,4,0,12,22,0,6,0,1,0.22,0.2273,0.41,0.1343,7,88,95
6732,2011/6/11,2,0,6,11,0,6,0,1,0.76,0.7121,0.62,0.1343,110,215,325
6733,2011/11/20,4,0,11,19,0,0,0,2,0.5,0.4848,0.72,0.1045,17,140,157
6734,2011/2/11,1,0,2,0,0,5,1,1,0.1,0.1364,0.49,0.1045,2,12,14
6735,2012/5/25,2,1,5,12,0,5,1,1,0.72,0.6818,0.66,0.1045,84,237,321
6736,2011/1/21,1,0,1,23,0,5,1,1,0.06,0.0455,0.38,0.3284,0,27,27
6737,2012/7/14,3,1,7,7,0,6,0,1,0.64,0.5909,0.78,0.2836,7,41,48
6738,2012/10/23,4,1,10,9,0,2,1,2,0.5,0.4848,0.72,0.1045,29,305,334
6739,2011/2/19,1,0,2,16,0,6,0,1,0.44,0.4394,0.16,0.6418,39,81,120
6740,2012/6/4,2,1,6,2,0,1,1,1,0.56,0.5303,0.6,0.2239,1,10,11
6741,2011/2/5,1,0,2,0,0,6,0,2,0.24,0.2424,0.7,0.1642,3,36,39
6742,2012/9/16,3,1,9,13,0,0,0,1,0.64,0.6212,0.41,0.1642,240,454,694
6743,2012/3/30,2,1,3,15,0,5,1,3,0.42,0.4242,0.54,0,73,207,280
6744,2011/2/5,1,0,2,11,0,6,0,3,0.22,0.2273,1,0.1343,1,46,47
6745,2012/5/8,2,1,5,4,0,2,1,2,0.52,0.5,0.68,0.3284,0,5,5
6746,2012/9/19,3,1,9,11,0,3,1,1,0.6,0.6212,0.43,0.2537,44,203,247
6747,2012/11/4,4,1,11,6,0,0,0,1,0.28,0.2879,0.61,0.1343,2,14,16
6748,2012/1/20,1,1,1,0,0,5,1,2,0.26,0.2273,0.48,0.2985,3,24,27
6749,2012/9/15,3,1,9,9,0,6,0,1,0.6,0.6212,0.43,0.4179,79,263,342
6750,2012/9/7,3,1,9,9,0,5,1,1,0.7,0.6667,0.79,0.1343,33,311,344
6751,2012/1/2,1,1,1,11,1,1,0,1,0.26,0.2121,0.35,0.4925,33,142,175
6752,2012/3/26,2,1,3,15,0,1,1,1,0.48,0.4697,0.29,0.6119,66,157,223
6753,2011/8/7,3,0,8,0,0,0,0,2,0.7,0.6667,0.84,0.2836,14,66,80
6754,2012/12/10,4,1,12,13,0,1,1,3,0.44,0.4394,1,0.2239,30,190,220
6755,2011/5/22,2,0,5,2,0,0,0,1,0.52,0.5,0.94,0.1045,18,50,68
6756,2012/7/6,3,1,7,12,0,5,1,1,0.88,0.7576,0.28,0.1045,111,220,331
6757,2012/6/23,3,1,6,10,0,6,0,1,0.74,0.6818,0.55,0.194,177,317,494
6758,2012/5/22,2,1,5,22,0,2,1,1,0.62,0.5909,0.73,0.0896,17,157,174
6759,2012/4/19,2,1,4,16,0,4,1,1,0.62,0.6212,0.41,0.1045,63,324,387
6760,2012/8/24,3,1,8,22,0,5,1,2,0.7,0.6515,0.61,0,42,209,251
6761,2012/3/5,1,1,3,15,0,1,1,2,0.3,0.2879,0.53,0.194,20,110,130
6762,2011/3/5,1,0,3,7,0,6,0,2,0.3,0.2727,1,0.2985,5,10,15
6763,2011/6/22,3,0,6,10,0,3,1,1,0.74,0.697,0.7,0.2537,31,104,135
6764,2011/12/22,1,0,12,15,0,4,1,2,0.48,0.4697,0.59,0,28,186,214
6765,2011/1/24,1,0,1,14,0,1,1,2,0.14,0.1364,0.46,0.2239,2,43,45
6766,2011/2/11,1,0,2,13,0,5,1,1,0.24,0.2273,0.35,0.194,21,89,110
6767,2011/10/5,4,0,10,14,0,3,1,1,0.64,0.6212,0.41,0.2836,34,156,190
6768,2012/7/19,3,1,7,7,0,4,1,1,0.74,0.6818,0.58,0.2836,23,450,473
6769,2011/7/26,3,0,7,8,0,2,1,1,0.74,0.6818,0.55,0.194,32,392,424
6770,2012/3/11,1,1,3,12,0,0,0,1,0.4,0.4091,0.37,0.2985,146,264,410
6771,2011/5/2,2,0,5,16,0,1,1,1,0.66,0.6212,0.61,0.2239,49,220,269
6772,2011/7/30,3,0,7,0,0,6,0,1,0.76,0.697,0.55,0.194,60,73,133
6773,2011/8/11,3,0,8,15,0,4,1,1,0.8,0.697,0.29,0.2985,52,126,178
6774,2011/10/29,4,0,10,11,0,6,0,3,0.26,0.2273,0.93,0.3881,1,26,27
6775,2012/11/1,4,1,11,8,0,4,1,2,0.36,0.3788,0.56,0.1045,12,668,680
6776,2011/12/27,1,0,12,11,0,2,1,3,0.32,0.3333,0.66,0.1045,6,24,30
6777,2012/1/7,1,1,1,12,0,6,0,1,0.4,0.4091,0.43,0.2239,100,276,376
6778,2012/3/26,2,1,3,5,0,1,1,1,0.44,0.4394,0.77,0.1642,0,36,36
6779,2012/9/7,3,1,9,4,0,5,1,1,0.62,0.5606,0.88,0,1,7,8
6780,2012/4/10,2,1,4,14,0,2,1,1,0.54,0.5152,0.24,0.194,75,149,224
6781,2011/11/21,4,0,11,7,0,1,1,2,0.46,0.4545,0.94,0.1642,17,229,246
6782,2012/6/25,3,1,6,17,0,1,1,1,0.8,0.6818,0.24,0.4627,76,757,833
6783,2012/4/5,2,1,4,6,0,4,1,1,0.36,0.3333,0.46,0.3284,8,118,126
6784,2011/1/7,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50
6785,2012/6/15,2,1,6,9,0,5,1,1,0.62,0.6061,0.65,0.1642,58,308,366
6786,2011/11/23,4,0,11,14,0,3,1,1,0.42,0.4242,0.54,0.4627,13,200,213
6787,2011/8/3,3,0,8,0,0,3,1,2,0.8,0.7424,0.49,0.1642,11,32,43
6788,2012/6/7,2,1,6,8,0,4,1,1,0.52,0.5,0.77,0,20,661,681
6789,2012/8/23,3,1,8,13,0,4,1,1,0.82,0.7273,0.38,0.0896,93,253,346
6790,2012/7/5,3,1,7,4,0,4,1,1,0.72,0.6667,0.58,0,0,7,7
6791,2012/6/17,2,1,6,7,0,0,0,1,0.52,0.5,0.72,0.0896,18,30,48
6792,2012/8/27,3,1,8,12,0,1,1,1,0.76,0.7121,0.62,0,69,214,283
6793,2012/8/11,3,1,8,0,0,6,0,1,0.7,0.6515,0.7,0.2836,38,142,180
6794,2011/2/9,1,0,2,14,0,3,1,1,0.2,0.1818,0.34,0.2985,2,56,58
6795,2011/7/9,3,0,7,12,0,6,0,1,0.8,0.7273,0.46,0.2537,145,221,366
6796,2012/3/26,2,1,3,17,0,1,1,1,0.46,0.4545,0.24,0.4478,65,599,664
6797,2011/7/28,3,0,7,2,0,4,1,1,0.72,0.6667,0.54,0.1045,2,5,7
6798,2012/2/28,1,1,2,16,0,2,1,1,0.42,0.4242,0.28,0.0896,17,270,287
6799,2011/1/20,1,0,1,18,0,4,1,2,0.26,0.2576,0.56,0.194,1,184,185
6800,2011/6/29,3,0,6,8,0,3,1,1,0.7,0.6515,0.48,0.2836,41,499,540
6801,2012/7/12,3,1,7,23,0,4,1,2,0.7,0.6515,0.51,0.2239,33,178,211
6802,2011/1/20,1,0,1,20,0,4,1,2,0.26,0.2424,0.6,0.2836,2,124,126
6803,2011/7/29,3,0,7,0,0,5,1,1,0.74,0.7121,0.79,0.1642,12,45,57
6804,2011/5/4,2,0,5,23,0,3,1,1,0.36,0.3485,0.62,0.2239,8,49,57
6805,2012/4/3,2,1,4,5,0,2,1,1,0.32,0.3333,0.66,0.0896,2,25,27
6806,2011/11/22,4,0,11,15,0,2,1,3,0.44,0.4394,0.94,0,2,32,34
6807,2011/12/15,4,0,12,23,0,4,1,1,0.52,0.5,0.63,0.3284,10,104,114
6808,2012/7/12,3,1,7,10,0,4,1,1,0.74,0.6667,0.48,0.1642,69,145,214
6809,2012/1/31,1,1,1,17,0,2,1,1,0.54,0.5152,0.26,0.4179,41,518,559
6810,2012/1/16,1,1,1,17,1,1,0,1,0.26,0.2273,0.48,0.3284,19,174,193
6811,2012/12/14,4,1,12,1,0,5,1,1,0.22,0.2576,0.69,0.0896,0,26,26
6812,2011/11/21,4,0,11,8,0,1,1,2,0.46,0.4545,0.94,0,13,378,391
6813,2012/7/2,3,1,7,18,0,1,1,1,0.84,0.7273,0.32,0.1642,72,658,730
6814,2011/2/2,1,0,2,10,0,3,1,2,0.22,0.2727,1,0,2,59,61
6815,2012/8/9,3,1,8,22,0,4,1,2,0.66,0.6212,0.69,0.2239,41,218,259
6816,2012/4/23,2,1,4,15,0,1,1,2,0.36,0.3333,0.62,0.3881,11,101,112
6817,2011/2/21,1,0,2,7,1,1,0,2,0.42,0.4242,0.26,0.2836,3,16,19
6818,2012/3/20,1,1,3,19,0,2,1,1,0.58,0.5455,0.73,0.1343,75,480,555
6819,2011/9/23,4,0,9,21,0,5,1,1,0.6,0.5,1,0.1642,17,121,138
6820,2011/11/26,4,0,11,14,0,6,0,2,0.48,0.4697,0.48,0.1343,141,158,299
6821,2012/8/17,3,1,8,12,0,5,1,1,0.82,0.2424,0.41,0.2239,110,255,365
6822,2011/10/27,4,0,10,21,0,4,1,1,0.4,0.4091,0.62,0.5224,13,119,132
6823,2012/7/19,3,1,7,19,0,4,1,1,0.84,0.7576,0.44,0.2537,53,480,533
6824,2012/6/1,2,1,6,12,0,5,1,2,0.7,0.6667,0.74,0.3582,72,238,310
6825,2011/9/30,4,0,9,11,0,5,1,1,0.64,0.6212,0.57,0.0896,49,168,217
6826,2011/9/28,4,0,9,17,0,3,1,1,0.7,0.6515,0.7,0.2239,64,527,591
6827,2012/12/22,1,1,12,15,0,6,0,1,0.32,0.2727,0.33,0.5821,14,139,153
6828,2012/5/7,2,1,5,20,0,1,1,1,0.54,0.5152,0.52,0.2836,46,277,323
6829,2011/4/6,2,0,4,3,0,3,1,1,0.26,0.2727,0.6,0.1343,0,4,4
6830,2012/4/16,2,1,4,23,1,1,0,1,0.7,0.6364,0.45,0.2985,24,97,121
6831,2011/7/16,3,0,7,14,0,6,0,1,0.74,0.6667,0.45,0.2985,201,232,433
6832,2011/7/2,3,0,7,9,0,6,0,1,0.74,0.6667,0.51,0.0896,55,124,179
6833,2012/4/20,2,1,4,23,0,5,1,1,0.52,0.5,0.72,0.1343,31,156,187
6834,2011/10/14,4,0,10,22,0,5,1,1,0.46,0.4545,0.59,0.2239,20,123,143
6835,2012/4/23,2,1,4,7,0,1,1,3,0.3,0.2879,0.81,0.2537,1,206,207
6836,2011/1/20,1,0,1,15,0,4,1,2,0.32,0.3182,0.45,0.194,8,62,70
6837,2011/5/22,2,0,5,3,0,0,0,1,0.5,0.4848,1,0.1045,10,23,33
6838,2012/12/30,1,1,12,20,0,0,0,1,0.22,0.197,0.47,0.3284,9,63,72
6839,2011/5/18,2,0,5,2,0,3,1,3,0.52,0.5,0.94,0.2239,1,5,6
6840,2011/9/28,4,0,9,1,0,3,1,1,0.6,0.5455,0.88,0,1,13,14
6841,2011/12/15,4,0,12,17,0,4,1,2,0.52,0.5,0.59,0.2836,14,310,324
6842,2012/9/1,3,1,9,8,0,6,0,2,0.76,0.7121,0.58,0.2537,28,134,162
6843,2011/9/21,3,0,9,19,0,3,1,3,0.62,0.5455,0.94,0,30,253,283
6844,2012/3/17,1,1,3,1,0,6,0,2,0.44,0.4394,0.94,0,12,57,69
6845,2012/6/11,2,1,6,15,0,1,1,1,0.8,0.7121,0.41,0.3582,72,187,259
6846,2012/12/19,4,1,12,8,0,3,1,1,0.24,0.2576,0.87,0.1045,13,665,678
6847,2011/12/3,4,0,12,5,0,6,0,1,0.24,0.2576,0.7,0.0896,0,6,6
6848,2011/6/22,3,0,6,5,0,3,1,1,0.64,0.5758,0.89,0,2,21,23
6849,2012/12/2,4,1,12,21,0,0,0,2,0.44,0.4394,0.77,0.2239,8,91,99
6850,2012/4/2,2,1,4,11,0,1,1,1,0.42,0.4242,0.47,0.4478,81,128,209
6851,2011/6/13,2,0,6,6,0,1,1,1,0.54,0.5152,0.64,0.4179,7,98,105
6852,2011/6/6,2,0,6,6,0,1,1,1,0.58,0.5455,0.88,0,11,101,112
6853,2011/7/5,3,0,7,10,0,2,1,1,0.76,0.697,0.52,0.1045,55,84,139
6854,2011/1/29,1,0,1,7,0,6,0,1,0.16,0.1818,0.59,0.1045,1,4,5
6855,2011/1/11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136
6856,2011/2/9,1,0,2,17,0,3,1,2,0.2,0.197,0.34,0.2537,9,157,166
6857,2012/7/18,3,1,7,16,0,3,1,1,0.74,0.697,0.66,0.2537,34,190,224
6858,2011/5/24,2,0,5,12,0,2,1,1,0.76,0.6818,0.45,0.3881,41,129,170
6859,2012/5/12,2,1,5,23,0,6,0,1,0.58,0.5455,0.56,0.0896,42,134,176
6860,2012/9/11,3,1,9,14,0,2,1,1,0.68,0.6212,0.3,0.0896,74,181,255
6861,2011/11/27,4,0,11,21,0,0,0,1,0.48,0.4697,0.67,0.2836,13,75,88
6862,2012/3/7,1,1,3,8,0,3,1,1,0.28,0.2576,0.61,0.2985,12,554,566
6863,2012/6/23,3,1,6,19,0,6,0,1,0.8,0.697,0.27,0.194,185,240,425
6864,2011/2/23,1,0,2,12,0,3,1,1,0.26,0.2879,0.35,0.0896,11,56,67
6865,2012/10/27,4,1,10,13,0,6,0,1,0.6,0.6212,0.43,0.2537,310,450,760
6866,2012/11/16,4,1,11,3,0,5,1,2,0.3,0.303,0.65,0.1343,0,6,6
6867,2012/2/26,1,1,2,5,0,0,0,1,0.22,0.2121,0.44,0.2239,0,5,5
6868,2012/1/28,1,1,1,1,0,6,0,1,0.3,0.303,0.52,0.1642,1,57,58
6869,2012/6/25,3,1,6,14,0,1,1,1,0.78,0.697,0.43,0.2537,90,161,251
6870,2011/6/23,3,0,6,4,0,4,1,2,0.7,0.6667,0.79,0.1343,0,7,7
6871,2011/11/27,4,0,11,20,0,0,0,1,0.5,0.4848,0.63,0.2537,10,94,104
6872,2011/11/19,4,0,11,12,0,6,0,1,0.4,0.4091,0.35,0.2836,93,218,311
6873,2012/10/3,4,1,10,20,0,3,1,1,0.7,0.6515,0.65,0,48,449,497
6874,2012/12/5,4,1,12,2,0,3,1,1,0.46,0.4545,0.67,0.1642,2,7,9
6875,2011/6/8,2,0,6,12,0,3,1,1,0.88,0.8182,0.42,0.1343,15,134,149
6876,2011/8/4,3,0,8,0,0,4,1,2,0.68,0.6364,0.89,0.0896,2,15,17
6877,2012/5/4,2,1,5,19,0,5,1,1,0.7,0.6515,0.51,0.1343,64,388,452
6878,2011/9/30,4,0,9,13,0,5,1,2,0.66,0.6212,0.47,0.3284,72,194,266
6879,2011/2/23,1,0,2,9,0,3,1,1,0.18,0.2121,0.51,0.0896,9,130,139
6880,2011/9/29,4,0,9,9,0,4,1,1,0.62,0.5909,0.78,0.2537,27,198,225
6881,2012/3/14,1,1,3,2,0,3,1,1,0.5,0.4848,0.68,0.194,0,2,2
6882,2012/4/16,2,1,4,20,1,1,0,1,0.74,0.6515,0.37,0.2985,48,327,375
6883,2012/3/31,2,1,3,18,0,6,0,2,0.44,0.4394,0.72,0.4627,102,239,341
6884,2011/8/29,3,0,8,19,0,1,1,1,0.66,0.6212,0.47,0.2537,50,317,367
6885,2011/9/23,4,0,9,7,0,5,1,3,0.62,0.5455,0.94,0.1343,14,240,254
